Service Sectors,Age Group,Year,No. of employed,Gender
Financial & Insurance Services,55 - 59,2021,8.4,Male
Real Estate Services,55 - 59,2021,3.2,Male
Wholesale & Retail Trade,60 - 64,2021,15.6,Male
Professional And Administrative & Support,60 - 64,2021,22.2,Male
Transportation & Storage,60 - 64,2021,4.0,Male
Accommodation & Food Services,60 - 64,2021,9.7,Male
Information & Communications,60 - 64,2021,1.5,Male
Financial & Insurance Services,60 - 64,2021,5.0,Male
Real Estate Services,60 - 64,2021,2.6,Male
Wholesale & Retail Trade,65 or over,2021,14.0,Male
Professional And Administrative & Support,65 or over,2021,20.2,Male
Transportation & Storage,65 or over,2021,3.0,Male
Accommodation & Food Services,65 or over,2021,11.4,Male
Information & Communications,65 or over,2021,0.7,Male
Financial & Insurance Services,65 or over,2021,3.8,Male
Real Estate Services,65 or over,2021,2.2,Male
Wholesale & Retail Trade,15 - 19,2020,1.4,Male
Professional And Administrative & Support,15 - 19,2020,10.9,Male
Transportation & Storage,15 - 19,2020,0.4,Male
Accommodation & Food Services,15 - 19,2020,2.0,Male
Information & Communications,15 - 19,2020,0.4,Male
Financial & Insurance Services,15 - 19,2020,0.5,Male
Real Estate Services,15 - 19,2020,0.1,Male
Wholesale & Retail Trade,20 - 24,2020,8.2,Male
Professional And Administrative & Support,20 - 24,2020,8.7,Male
Transportation & Storage,20 - 24,2020,4.0,Male
Accommodation & Food Services,20 - 24,2020,4.3,Male
Information & Communications,20 - 24,2020,3.8,Male
Financial & Insurance Services,20 - 24,2020,4.6,Male
Real Estate Services,20 - 24,2020,0.7,Male
Wholesale & Retail Trade,25 - 29,2020,14.0,Male
Professional And Administrative & Support,25 - 29,2020,15.9,Male
Transportation & Storage,25 - 29,2020,5.4,Male
Accommodation & Food Services,25 - 29,2020,4.8,Male
Information & Communications,25 - 29,2020,8.5,Male
Financial & Insurance Services,25 - 29,2020,15.4,Male
Real Estate Services,25 - 29,2020,2.6,Male
Wholesale & Retail Trade,30 - 34,2020,16.0,Male
Professional And Administrative & Support,30 - 34,2020,20.6,Male
Transportation & Storage,30 - 34,2020,6.5,Male
Accommodation & Food Services,30 - 34,2020,5.4,Male
Information & Communications,30 - 34,2020,6.6,Male
Financial & Insurance Services,30 - 34,2020,16.7,Male
Real Estate Services,30 - 34,2020,2.7,Male
Wholesale & Retail Trade,35 - 39,2020,21.7,Male
Professional And Administrative & Support,35 - 39,2020,26.4,Male
Transportation & Storage,35 - 39,2020,6.8,Male
Accommodation & Food Services,35 - 39,2020,7.0,Male
Information & Communications,35 - 39,2020,7.4,Male
Financial & Insurance Services,35 - 39,2020,16.8,Male
Real Estate Services,35 - 39,2020,3.6,Male
Wholesale & Retail Trade,40 - 44,2020,21.0,Male
Professional And Administrative & Support,40 - 44,2020,24.8,Male
Transportation & Storage,40 - 44,2020,6.2,Male
Accommodation & Food Services,40 - 44,2020,5.2,Male
Information & Communications,40 - 44,2020,6.2,Male
Financial & Insurance Services,40 - 44,2020,15.3,Male
Real Estate Services,40 - 44,2020,3.2,Male
Wholesale & Retail Trade,45 - 49,2020,21.6,Male
Professional And Administrative & Support,45 - 49,2020,26.1,Male
Transportation & Storage,45 - 49,2020,5.8,Male
Accommodation & Food Services,45 - 49,2020,6.7,Male
Information & Communications,45 - 49,2020,5.5,Male
Financial & Insurance Services,45 - 49,2020,14.7,Male
Real Estate Services,45 - 49,2020,3.7,Male
Wholesale & Retail Trade,50 - 54,2020,19.4,Male
Professional And Administrative & Support,50 - 54,2020,24.099999999999998,Male
Transportation & Storage,50 - 54,2020,5.9,Male
Accommodation & Food Services,50 - 54,2020,7.7,Male
Information & Communications,50 - 54,2020,2.4,Male
Financial & Insurance Services,50 - 54,2020,9.9,Male
Real Estate Services,50 - 54,2020,2.3,Male
Wholesale & Retail Trade,55 - 59,2020,18.2,Male
Professional And Administrative & Support,55 - 59,2020,24.1,Male
Transportation & Storage,55 - 59,2020,5.2,Male
Accommodation & Food Services,55 - 59,2020,10.1,Male
Information & Communications,55 - 59,2020,1.9,Male
Financial & Insurance Services,55 - 59,2020,7.2,Male
Real Estate Services,55 - 59,2020,2.9,Male
Wholesale & Retail Trade,60 - 64,2020,14.1,Male
Professional And Administrative & Support,60 - 64,2020,20.9,Male
Transportation & Storage,60 - 64,2020,3.7,Male
Accommodation & Food Services,60 - 64,2020,9.3,Male
Information & Communications,60 - 64,2020,1.4,Male
Financial & Insurance Services,60 - 64,2020,4.0,Male
Real Estate Services,60 - 64,2020,2.2,Male
Wholesale & Retail Trade,65 or over,2020,12.0,Male
Professional And Administrative & Support,65 or over,2020,17.6,Male
Transportation & Storage,65 or over,2020,2.8,Male
Accommodation & Food Services,65 or over,2020,10.6,Male
Information & Communications,65 or over,2020,1.0,Male
Financial & Insurance Services,65 or over,2020,2.6,Male
Real Estate Services,65 or over,2020,2.0,Male
Wholesale & Retail Trade,15 - 19,2019,2.5,Male
Professional And Administrative & Support,15 - 19,2019,12.5,Male
Transportation & Storage,15 - 19,2019,0.5,Male
Accommodation & Food Services,15 - 19,2019,2.9,Male
Information & Communications,15 - 19,2019,0.3,Male
Financial & Insurance Services,15 - 19,2019,0.5,Male
Real Estate Services,15 - 19,2019,0.1,Male
Wholesale & Retail Trade,20 - 24,2019,8.0,Male
Professional And Administrative & Support,20 - 24,2019,8.4,Male
Transportation & Storage,20 - 24,2019,3.3,Male
Accommodation & Food Services,20 - 24,2019,5.7,Male
Information & Communications,20 - 24,2019,3.8,Male
Financial & Insurance Services,20 - 24,2019,5.1,Male
Real Estate Services,20 - 24,2019,0.7,Male
Wholesale & Retail Trade,25 - 29,2019,13.4,Male
Professional And Administrative & Support,25 - 29,2019,17.0,Male
Transportation & Storage,25 - 29,2019,5.7,Male
Accommodation & Food Services,25 - 29,2019,3.3,Male
Information & Communications,25 - 29,2019,6.9,Male
Financial & Insurance Services,25 - 29,2019,15.1,Male
Real Estate Services,25 - 29,2019,1.6,Male
Wholesale & Retail Trade,30 - 34,2019,18.6,Male
Professional And Administrative & Support,30 - 34,2019,22.1,Male
Transportation & Storage,30 - 34,2019,5.4,Male
Accommodation & Food Services,30 - 34,2019,3.6,Male
Information & Communications,30 - 34,2019,6.9,Male
Financial & Insurance Services,30 - 34,2019,15.8,Male
Real Estate Services,30 - 34,2019,2.6,Male
Wholesale & Retail Trade,35 - 39,2019,21.0,Male
Professional And Administrative & Support,35 - 39,2019,25.2,Male
Transportation & Storage,35 - 39,2019,5.6,Male
Accommodation & Food Services,35 - 39,2019,6.4,Male
Information & Communications,35 - 39,2019,6.4,Male
Financial & Insurance Services,35 - 39,2019,16.7,Male
Real Estate Services,35 - 39,2019,3.5,Male
Wholesale & Retail Trade,40 - 44,2019,22.0,Male
Professional And Administrative & Support,40 - 44,2019,27.1,Male
Transportation & Storage,40 - 44,2019,6.7,Male
Accommodation & Food Services,40 - 44,2019,7.0,Male
Information & Communications,40 - 44,2019,5.6,Male
Financial & Insurance Services,40 - 44,2019,16.3,Male
Real Estate Services,40 - 44,2019,2.9,Male
Wholesale & Retail Trade,45 - 49,2019,22.7,Male
Professional And Administrative & Support,45 - 49,2019,27.4,Male
Transportation & Storage,45 - 49,2019,6.3,Male
Accommodation & Food Services,45 - 49,2019,7.9,Male
Information & Communications,45 - 49,2019,5.0,Male
Financial & Insurance Services,45 - 49,2019,13.0,Male
Real Estate Services,45 - 49,2019,3.3,Male
Wholesale & Retail Trade,50 - 54,2019,20.7,Male
Professional And Administrative & Support,50 - 54,2019,26.7,Male
Transportation & Storage,50 - 54,2019,5.1,Male
Accommodation & Food Services,50 - 54,2019,9.3,Male
Information & Communications,50 - 54,2019,3.5,Male
Financial & Insurance Services,50 - 54,2019,10.0,Male
Real Estate Services,50 - 54,2019,3.5,Male
Wholesale & Retail Trade,55 - 59,2019,19.6,Male
Professional And Administrative & Support,55 - 59,2019,25.0,Male
Transportation & Storage,55 - 59,2019,5.3,Male
Accommodation & Food Services,55 - 59,2019,9.5,Male
Information & Communications,55 - 59,2019,2.6,Male
Financial & Insurance Services,55 - 59,2019,6.5,Male
Real Estate Services,55 - 59,2019,2.5,Male
Wholesale & Retail Trade,60 - 64,2019,14.6,Male
Professional And Administrative & Support,60 - 64,2019,21.1,Male
Transportation & Storage,60 - 64,2019,3.6,Male
Accommodation & Food Services,60 - 64,2019,7.5,Male
Information & Communications,60 - 64,2019,0.9,Male
Financial & Insurance Services,60 - 64,2019,4.2,Male
Real Estate Services,60 - 64,2019,1.7,Male
Wholesale & Retail Trade,65 or over,2019,11.3,Male
Professional And Administrative & Support,65 or over,2019,16.8,Male
Transportation & Storage,65 or over,2019,2.0,Male
Accommodation & Food Services,65 or over,2019,10.5,Male
Information & Communications,65 or over,2019,0.7,Male
Financial & Insurance Services,65 or over,2019,2.2,Male
Real Estate Services,65 or over,2019,2.2,Male
Wholesale & Retail Trade,15 - 19,2018,2.6,Male
Professional And Administrative & Support,15 - 19,2018,10.9,Male
Transportation & Storage,15 - 19,2018,0.5,Male
Accommodation & Food Services,15 - 19,2018,3.0,Male
Information & Communications,15 - 19,2018,0.8,Male
Financial & Insurance Services,15 - 19,2018,0.7,Male
Real Estate Services,15 - 19,2018,0.2,Male
Wholesale & Retail Trade,20 - 24,2018,9.8,Male
Professional And Administrative & Support,20 - 24,2018,10.200000000000001,Male
Transportation & Storage,20 - 24,2018,3.9,Male
Accommodation & Food Services,20 - 24,2018,5.4,Male
Information & Communications,20 - 24,2018,3.3,Male
Financial & Insurance Services,20 - 24,2018,6.9,Male
Real Estate Services,20 - 24,2018,0.9,Male
Wholesale & Retail Trade,25 - 29,2018,14.7,Male
Professional And Administrative & Support,25 - 29,2018,16.3,Male
Transportation & Storage,25 - 29,2018,5.8,Male
Accommodation & Food Services,25 - 29,2018,4.9,Male
Information & Communications,25 - 29,2018,5.8,Male
Financial & Insurance Services,25 - 29,2018,13.5,Male
Real Estate Services,25 - 29,2018,2.4,Male
Wholesale & Retail Trade,30 - 34,2018,17.9,Male
Professional And Administrative & Support,30 - 34,2018,22.099999999999998,Male
Transportation & Storage,30 - 34,2018,5.7,Male
Accommodation & Food Services,30 - 34,2018,4.7,Male
Information & Communications,30 - 34,2018,5.8,Male
Financial & Insurance Services,30 - 34,2018,15.6,Male
Real Estate Services,30 - 34,2018,2.7,Male
Wholesale & Retail Trade,35 - 39,2018,22.6,Male
Professional And Administrative & Support,35 - 39,2018,26.400000000000002,Male
Transportation & Storage,35 - 39,2018,5.8,Male
Accommodation & Food Services,35 - 39,2018,5.1,Male
Information & Communications,35 - 39,2018,6.5,Male
Financial & Insurance Services,35 - 39,2018,15.1,Male
Real Estate Services,35 - 39,2018,2.7,Male
Wholesale & Retail Trade,40 - 44,2018,22.2,Male
Professional And Administrative & Support,40 - 44,2018,26.299999999999997,Male
Transportation & Storage,40 - 44,2018,6.0,Male
Accommodation & Food Services,40 - 44,2018,7.2,Male
Information & Communications,40 - 44,2018,5.8,Male
Financial & Insurance Services,40 - 44,2018,15.0,Male
Real Estate Services,40 - 44,2018,3.1,Male
Wholesale & Retail Trade,45 - 49,2018,23.5,Male
Professional And Administrative & Support,45 - 49,2018,29.0,Male
Transportation & Storage,45 - 49,2018,6.7,Male
Accommodation & Food Services,45 - 49,2018,7.7,Male
Information & Communications,45 - 49,2018,4.5,Male
Financial & Insurance Services,45 - 49,2018,12.5,Male
Real Estate Services,45 - 49,2018,3.5,Male
Wholesale & Retail Trade,50 - 54,2018,22.6,Male
Professional And Administrative & Support,50 - 54,2018,27.200000000000003,Male
Transportation & Storage,50 - 54,2018,5.0,Male
Accommodation & Food Services,50 - 54,2018,9.7,Male
Information & Communications,50 - 54,2018,2.8,Male
Financial & Insurance Services,50 - 54,2018,9.3,Male
Real Estate Services,50 - 54,2018,2.8,Male
Wholesale & Retail Trade,55 - 59,2018,17.0,Male
Professional And Administrative & Support,55 - 59,2018,21.7,Male
Transportation & Storage,55 - 59,2018,4.3,Male
Accommodation & Food Services,55 - 59,2018,8.7,Male
Information & Communications,55 - 59,2018,1.8,Male
Financial & Insurance Services,55 - 59,2018,7.0,Male
Real Estate Services,55 - 59,2018,2.9,Male
Wholesale & Retail Trade,60 - 64,2018,12.9,Male
Professional And Administrative & Support,60 - 64,2018,19.1,Male
Transportation & Storage,60 - 64,2018,2.8,Male
Accommodation & Food Services,60 - 64,2018,8.5,Male
Information & Communications,60 - 64,2018,1.3,Male
Financial & Insurance Services,60 - 64,2018,4.0,Male
Real Estate Services,60 - 64,2018,2.8,Male
Wholesale & Retail Trade,65 or over,2018,10.4,Male
Professional And Administrative & Support,65 or over,2018,16.7,Male
Transportation & Storage,65 or over,2018,1.5,Male
